latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.61,3.88,58.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h)
2023-11-15,3,18.3,10.6,0.00,26.4
2023-11-16,3,15.8,8.7,0.00,21.5
2023-11-17,3,15.8,8.6,0.00,27.2
2023-11-18,3,16.0,5.3,0.00,7.7
